fips,votes,"Percent of adults with less than a high school diploma, 2011-2015","Percent of adults with a high school diploma only, 2011-2015","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2011-2015",Unemployment_rate_2015,POP_ESTIMATE_2015,Amish,Buddhist,Catholic,Christian Generic,Eastern Orthodox,Hindu,Jewish,Mainline Christian,Mormon,Muslim,Non-Catholic Christian,Other,Other Christian,Other Misc,Pentecostal / Charismatic,Protestant Denomination,Zoroastrian,MedHHInc2014,PerCapitaInc,PovertyUnder18Pct2014,PovertyAllAgesPct2014,Deep_Pov_All,Deep_Pov_Children,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,age_total_pop,0-4_rate,5-9_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,TOT_MALE_rate,TOT_FEMALE_rate,WHITE_MALE_rate,WHITE_FEMALE_rate,BLACK_MALE_rate,BLACK_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_FEMALE_rate,ASIAN_MALE_rate,ASIAN_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_FEMALE_rate,MULTI_MALE_rate,MULTI_FEMALE_rate,WHITE_rate,BLACK_rate,NATIVE_AMERICAN_rate,HAWAIIAN_PACIFIC_rate,MULTI_rate,voter_turnout_rate,Democrat
18165,6913,11.1,43.9,31.5,13.5,7.1,15692,0,0,124,281,0,0,0,93,35,0,45,35,93,23,25,0,0,44388,23475,20.1,13.9,5.758625112,8.046630651,16212,7488,259.93,3.05,256.88,63.1,29.1,15692,0.056143258,0.057545246,0.057545246,0.065511088,0.053466735,0.052638287,0.052319653,0.05824624,0.063599286,0.06391792,0.071501402,0.074369105,0.073795565,0,0.046393067,0.032882998,0.023196533,0.024471068,0.495347948,0.504652052,0.484769309,0.494646954,0.002485343,0.001529442,0.001147081,0.001784349,0.001147081,0,6.37E-05,0.000254907,0.005735407,0,0.979416263,0.004014785,0.00293143,0.000318634,0.005735407,0.440542952,0
18167,39569,12.6,33.6,31.3,22.5,6.1,107896,0,0,141,243,0,2,1,70,5,1,39,11,32,76,25,2,0,41260,21766,28,20.2,8.778394137,10.99613066,107848,46006,410.45,7.14,403.31,267.4,114.1,107896,0.058982724,0.056091051,0.056091051,0.073709869,0.11524987,0.063969007,0.063366575,0.059019797,0.058028101,0.058843701,0.063005116,0.064812412,0.059779788,0,0.035478609,0.025385556,0.017933936,0.021140728,0.507813079,0.492186921,0.440164603,0.43971973,0.044079484,0.028759176,0.002011196,0.001696078,0.009611107,0,0.000194632,0.000268777,0.011752058,0,0.879884333,0.072838659,0.003707274,0.000463409,0.011752058,0.36673278,0
18169,13415,11.9,42.5,26.9,18.8,4.8,32138,0,0,65,385,0,0,0,136,0,0,6,0,133,67,41,0,0,45151,21943,21.3,15.2,6.60297101,12.7840092,32888,14171,420.98,8.54,412.43,79.7,34.4,32138,0.053394735,0.058497729,0.058497729,0.075113573,0.068952642,0.052367913,0.049971996,0.053768125,0.058435497,0.060084635,0.069574958,0.073402203,0.067770241,0,0.045678014,0.034943058,0.029124401,0.032111519,0.487709254,0.512290746,0.471560147,0.496110523,0.003702782,0.004449561,0.004262866,0.00326716,0.002178107,0,0.000124463,6.22E-05,0.005880889,0,0.96767067,0.008152343,0.007530027,0.000186695,0.005880889,0.417418632,0
18171,3919,11.2,43.8,26.3,18.6,4.9,8269,0,0,0,280,0,0,0,137,14,0,0,14,123,11,7,0,0,55925,28574,16.3,9.9,2.166545631,1.324503311,8508,3680,366.41,1.72,364.68,23.3,10.1,8269,0.05429919,0.059136534,0.059136534,0.062038941,0.053210787,0.050550248,0.048373443,0.054420123,0.059862136,0.071108961,0.079574314,0.079816181,0.069294957,0,0.050429314,0.037489418,0.022493651,0.025516991,0.496674326,0.503325674,0.488934575,0.49111138,0.001209336,0.002176805,0.001088402,0.00133027,0.002055871,0,0.000362801,0.000362801,0.00302334,0,0.980045955,0.003386141,0.002418672,0.000725602,0.00302334,0.473938808,0
18173,29609,6.8,33.8,32.3,27,4.1,61897,0,0,227,339,0,0,0,94,11,5,49,17,94,92,8,1,0,65793,30197,11.1,8.2,3.032706653,4.511278195,59689,24203,391.05,6.24,384.82,155.1,62.9,61897,0.055673134,0.068662455,0.068662455,0.067402297,0.053799053,0.048306057,0.058096515,0.063411797,0.067757727,0.06449424,0.074220075,0.074042361,0.063541044,0,0.040938979,0.026560253,0.017965329,0.02093801,0.494191964,0.505808036,0.464255134,0.478908509,0.008772638,0.007253986,0.001534808,0.00148634,0.011551448,0,0.000258494,0.000210026,0.007819442,0,0.943163643,0.016026625,0.003021148,0.00046852,0.007819442,0.47835921,0
18175,11333,15.9,45.9,25.8,12.4,5.1,27827,5,0,17,397,0,0,0,108,0,0,129,0,116,26,10,0,0,43573,20317,25,16.2,7.154790441,11.60187566,28262,12220,516.6,2.87,513.73,55,23.8,27827,0.059402738,0.060157401,0.060157401,0.066266576,0.057498113,0.057713731,0.054587271,0.061594854,0.064326014,0.0689618,0.078197434,0.076436554,0.065368168,0,0.039206526,0.027886585,0.018040033,0.017608797,0.497286808,0.502713192,0.486937147,0.493118195,0.002838969,0.002084307,0.001329644,0.001114026,0.00136558,0,7.19E-05,3.59E-05,0.004743594,0,0.980055342,0.004923276,0.00244367,0.000107809,0.004743594,0.407266324,0
18177,25575,16,38.6,28,17.4,5.3,67001,0,0,140,348,0,0,1,102,8,0,62,10,61,86,31,2,0,40929,21130,26.3,17.8,9.866159696,17.26973684,68917,31242,404.34,2.6,401.74,171.5,77.8,67001,0.059864778,0.061969224,0.061969224,0.064297548,0.064655751,0.056820047,0.055506634,0.057834958,0.061073715,0.063357263,0.072521306,0.071536246,0.066655722,0,0.042939658,0.033029358,0.022895181,0.026372741,0.483992776,0.516007224,0.437874062,0.470903419,0.026507067,0.024193669,0.001820868,0.001701467,0.003462635,0,0.00049253,0.00049253,0.013835614,0,0.908777481,0.050700736,0.003522335,0.00098506,0.013835614,0.381710721,0
18179,13123,9.3,41.8,31.3,17.6,3.9,27964,0,0,15,413,0,0,0,159,0,0,14,0,123,106,7,1,0,51182,24126,15.8,10.7,3.40309305,5.053110774,27636,11659,370.25,2.16,368.09,75.1,31.7,27964,0.06390359,0.068302103,0.068302103,0.062938063,0.057788585,0.056000572,0.058074667,0.058217708,0.054462881,0.0597554,0.073451581,0.077349449,0.066156487,0,0.040945501,0.029752539,0.022528966,0.026677156,0.494922043,0.505077957,0.4810113,0.492240023,0.003683307,0.002646259,0.002109856,0.00139465,0.002467458,0,0.000214562,0.000107281,0.00543556,0,0.973251323,0.006329567,0.003504506,0.000321842,0.00543556,0.469281934,0
18181,9902,10.5,44.3,29.7,15.5,4.1,24293,0,0,200,341,0,0,0,134,0,0,67,0,62,43,31,2,0,50731,24116,17.9,11.2,4.141766268,7.198169659,24643,12970,508.68,3.55,505.12,48.8,25.7,24293,0.061910839,0.061663854,0.061663854,0.064874655,0.056271354,0.048326678,0.049149961,0.056765323,0.058741201,0.060881735,0.072160705,0.077512041,0.070925781,0,0.042687194,0.033672251,0.024451488,0.027250648,0.496727452,0.503272548,0.481208579,0.487095048,0.005063187,0.003704771,0.003004981,0.002963817,0.001234924,0,0.00069979,0.000205821,0.005515992,0,0.968303627,0.008767958,0.005968798,0.000905611,0.005515992,0.40760713,0
18183,15535,9.2,42.3,30.1,18.4,4.1,33406,0,0,127,299,0,0,0,162,9,0,2,9,13,54,66,0,0,59266,26120,13.2,9.4,2.246505097,2.729719339,33292,14281,337.91,2.34,335.57,99.2,42.6,33406,0.057714183,0.065257738,0.065257738,0.063162306,0.057265162,0.057235227,0.057893792,0.059390529,0.061845178,0.064988325,0.07316051,0.082350476,0.068760103,0,0.037717775,0.02670179,0.019098366,0.022930013,0.499101958,0.500898042,0.485751063,0.488505059,0.003173083,0.001586541,0.002095432,0.001885889,0.001496737,0,0.00056876,0.000149674,0.006016883,0,0.974256122,0.004759624,0.003981321,0.000718434,0.006016883,0.465036221,0
19001,3759,7.5,44.7,32.5,15.3,3.2,7228,0,0,112,462,0,0,0,419,0,0,3,0,10,0,0,0,0,48216,25657,15.5,10.3,3.683922213,7.388204796,7682,3698,570.27,1,569.27,13.5,6.5,7228,0.045655783,0.064056447,0.064056447,0.055063641,0.049529607,0.050083011,0.052158273,0.05478694,0.049391256,0.057830659,0.078168235,0.081211954,0.069728832,0,0.044825678,0.041090205,0.034311013,0.0484228,0.491560598,0.508439402,0.483121195,0.500830105,0.001521859,0.001106807,0.000830105,0.000276702,0.002351965,0,0.000138351,0,0.003597122,0,0.9839513,0.002628666,0.001106807,0.000138351,0.003597122,0.520060874,0
19003,2082,7.4,39.1,38.5,15.1,2.7,3796,0,0,123,288,0,0,0,269,0,0,0,0,19,0,0,0,0,51929,25169,18.9,12.2,4.272397721,4.202719407,4029,2010,425.51,2.07,423.44,9.5,4.7,3796,0.065858799,0.062170706,0.062170706,0.055848261,0.04662803,0.051369863,0.054004215,0.048472076,0.049262381,0.052423604,0.080084299,0.092992624,0.066122234,0,0.050579557,0.039515279,0.035036881,0.034246575,0.499736565,0.500263435,0.488935722,0.488672287,0.001317176,0.002634352,0.002634352,0.001844046,0.003424658,0,0,0,0.003424658,0,0.977608008,0.003951528,0.004478398,0,0.003424658,0.548472076,0
19005,6837,11.6,42.1,30.1,16.3,4.8,13886,0,36,478,369,0,0,0,337,0,0,12,36,0,17,0,3,0,45229,25622,19.1,12.4,3.314476356,4.990464081,14330,7617,658.77,19.69,639.08,22.4,11.9,13886,0.061212732,0.065173556,0.065173556,0.055811609,0.052570935,0.047025781,0.049546306,0.049762351,0.049618321,0.059988478,0.071438859,0.078208267,0.079576552,0,0.051274665,0.038167939,0.030462336,0.030750396,0.509794037,0.490205963,0.492222382,0.474578712,0.007201498,0.006265303,0.003384704,0.001872389,0.001656345,0,0.00129627,0.001224255,0.004032839,0,0.966801095,0.013466801,0.005257093,0.002520524,0.004032839,0.492366412,0
